Region,Date,Max_Temp_C,Precipitation_mm
Paris (75),2026-07-09,33.7,0.0
Paris (75),2026-07-10,35.7,0.0
Paris (75),2026-07-11,36.1,0.0
Paris (75),2026-07-12,35.8,0.0
Paris (75),2026-07-13,34.9,0.0
Paris (75),2026-07-14,34.8,0.0
Paris (75),2026-07-15,32.0,0.0
Paris (75),2026-07-16,33.3,0.0
Paris (75),2026-07-17,27.4,6.1
Paris (75),2026-07-18,29.6,0.0
Paris (75),2026-07-19,24.3,0.0
Paris (75),2026-07-20,24.0,0.0
Paris (75),2026-07-21,26.1,0.0
Paris (75),2026-07-22,25.8,0.0
Paris (75),2026-07-23,25.7,0.0
Paris (75),2026-07-24,28.0,0.0
Paris (75),2026-07-25,29.3,0.0
Paris (75),2026-07-26,24.7,0.2
Paris (75),2026-07-27,27.5,0.0
Paris (75),2026-07-28,32.0,0.0
Paris (75),2026-07-29,36.6,0.0
Marseille (13),2026-07-09,28.8,0.0
Marseille (13),2026-07-10,32.7,0.0
Marseille (13),2026-07-11,30.6,1.6
Marseille (13),2026-07-12,31.1,0.0
Marseille (13),2026-07-13,34.4,0.0
Marseille (13),2026-07-14,29.8,0.2
Marseille (13),2026-07-15,31.5,0.0
Marseille (13),2026-07-16,32.4,0.0
Marseille (13),2026-07-17,30.4,0.0
Marseille (13),2026-07-18,35.1,0.0
Marseille (13),2026-07-19,35.7,0.0
Marseille (13),2026-07-20,33.8,0.0
Marseille (13),2026-07-21,35.9,0.0
Marseille (13),2026-07-22,31.9,0.0
Marseille (13),2026-07-23,35.1,0.0
Marseille (13),2026-07-24,31.6,0.0
Marseille (13),2026-07-25,32.8,5.6
Marseille (13),2026-07-26,31.2,0.0
Marseille (13),2026-07-27,33.6,0.0
Marseille (13),2026-07-28,26.1,0.0
Marseille (13),2026-07-29,27.2,0.0
Toulouse (31),2026-07-09,36.5,0.0
Toulouse (31),2026-07-10,36.8,0.0
Toulouse (31),2026-07-11,36.2,0.0
Toulouse (31),2026-07-12,37.1,0.0
Toulouse (31),2026-07-13,32.4,0.0
Toulouse (31),2026-07-14,36.6,0.0
Toulouse (31),2026-07-15,35.6,0.0
Toulouse (31),2026-07-16,32.6,0.0
Toulouse (31),2026-07-17,29.8,0.0
Toulouse (31),2026-07-18,32.3,0.0
Toulouse (31),2026-07-19,34.2,0.0
Toulouse (31),2026-07-20,36.3,0.0
Toulouse (31),2026-07-21,33.7,0.0
Toulouse (31),2026-07-22,34.3,0.0
Toulouse (31),2026-07-23,35.2,0.0
Toulouse (31),2026-07-24,38.6,0.0
Toulouse (31),2026-07-25,26.6,5.05
Toulouse (31),2026-07-26,27.5,3.8
Toulouse (31),2026-07-27,28.1,0.0
Toulouse (31),2026-07-28,33.7,0.0
Toulouse (31),2026-07-29,36.4,0.0
Lyon (69),2026-07-09,35.0,0.0
Lyon (69),2026-07-10,36.7,0.0
Lyon (69),2026-07-11,34.2,1.2
Lyon (69),2026-07-12,37.5,0.2
Lyon (69),2026-07-13,36.8,0.0
Lyon (69),2026-07-14,37.6,0.0
Lyon (69),2026-07-15,31.5,12.6
Lyon (69),2026-07-16,33.3,33.6
Lyon (69),2026-07-17,32.5,19.1
Lyon (69),2026-07-18,31.8,0.0
Lyon (69),2026-07-19,30.3,0.0
Lyon (69),2026-07-20,29.1,0.0
Lyon (69),2026-07-21,28.2,0.0
Lyon (69),2026-07-22,30.2,0.0
Lyon (69),2026-07-23,29.3,0.0
Lyon (69),2026-07-24,31.9,0.0
Lyon (69),2026-07-25,29.5,3.25
Lyon (69),2026-07-26,29.0,0.5
Lyon (69),2026-07-27,29.3,0.0
Lyon (69),2026-07-28,32.4,0.0
Lyon (69),2026-07-29,37.1,0.0
